Region,RegionID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
남원,247,-0.7,0.9,9.9,14.9,20.4,25.9,32.6,32.5,22.9,16,8.6,1.1
장수,248,0,0.3,8.3,14,20.9,28,32.4,31.5,21,13.1,6.6,0.7
고창군,251,1,1.6,10,14.8,20,26.1,32.2,32.1,23.7,15.3,8.7,3.2
영광군,252,0.3,0.6,9.8,15.2,20.5,27.8,32.2,33.2,23.5,14.8,8.1,2.6
북창원,255,0.2,2.6,10.6,18.9,22.6,28.1,32.6,32.3,23.5,16.4,9.7,3.3
양산시,257,0.1,2.3,9.4,15.5,20.6,24.9,30.9,30.4,22.4,15.7,9,3.1
보성군,258,1,2.3,9.7,15.4,20.3,26,31.5,31.8,22.4,15.4,9.4,2.9
강진군,259,2.2,2.8,10,15.5,20.1,26.8,31.6,31.9,23.2,16.8,10.2,4.2
장흥,260,1.3,2.3,9.5,15,20.4,27.1,32.2,32.1,23.2,16.2,8.9,2.8
해남,261,1.4,2.1,9.9,15.5,20.4,26.8,31.2,31.8,22.1,15.4,9.1,3.5
고흥,262,1.3,2.7,10,15.9,19.9,25.2,30.7,30.9,22.8,16,9.3,3.2
의령군,263,0.7,3.1,11.1,17.9,22.5,27,32.8,31.7,23.4,15,8.5,2.9
함양군,264,-1.1,0.2,8.2,14.5,20.7,26.7,30.4,29.9,20.9,13.1,6.2,1
광양시,266,0.5,2.8,9.5,15.2,20.1,26.2,31.8,31.3,23.7,17.5,11.3,4.6
진도군,268,2.4,3.2,11,16.9,21.3,27.8,33,33.2,24.4,17.2,9.9,4.6
봉화,271,-2.6,-2.1,6,12.5,18.6,26.5,30.5,30.3,19.6,11.7,5.3,-0.5
영주,272,-2.3,0.8,10.2,17.4,23,30.2,33.9,32.5,22,14.1,6.9,-0.2
문경,273,-1.1,0.5,8.8,15.4,21.2,28.4,32.9,33.3,22.5,14.5,7.2,0.5
청송군,276,-2.9,-0.3,7,14.9,21.7,26.7,33.2,31.5,21.1,14.3,6.9,-0.3
영덕,277,-0.2,2.2,10,16.7,21.4,27.2,33.1,30.5,22.7,15.3,9.2,2.4
의성,278,-2.8,-0.8,8.5,16,22.6,28.4,33.7,33.5,22.6,14.3,7.2,0.2
구미,279,-0.9,1.4,10,16.9,22.7,28.1,33.2,33.2,23.9,16.3,8.6,1.2
영천,281,-0.6,1.5,9.4,16,20.3,25.8,31.4,30,21.6,15.2,8.2,1.8
경주시,283,-0.8,1.1,9,16.4,20.8,26.2,31.6,30.4,22.5,14.9,8.4,2.2
거창,284,-0.3,1,9.1,15.2,21,26.7,31.8,30.5,21.7,14.6,7.1,1.5
합천,285,-0.4,1.8,9.8,17.3,23.3,28.5,34.6,33,23.1,15.7,9,2.3
밀양,288,-0.9,1.4,9.8,17.3,22.8,29,33.8,32.7,23.9,16.8,9.3,2.6
산청,289,-0.4,1.8,9.2,15.2,21.9,28.9,32.8,31.1,21.7,13.4,7.6,1.9
거제,294,0.9,3.5,11,16.6,20.9,26,32.4,31.3,22.6,15.9,9.2,3.5
남해,295,1.1,4,10.9,17.5,21.3,26,31.1,33.1,22.8,16.8,10.6,4.5
