Region,RegionID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
장흥,2.1,2.1,3.3,8.3,15.8,23.5,26.1,29.3,29.8,23.5,17.8,9.2,2.4
해남,3.8,3.8,4.5,9.7,17.2,24,27.6,30.9,31.7,25.1,17.6,9.7,2.8
고흥,3.2,3.2,4.2,8.5,15.7,21.9,25.9,30.3,31.3,24.4,17.8,8.7,1.8
의령군,2,2,4.9,10.7,16.7,22.4,29.5,30.4,29.9,23.8,19,9.7,1.5
함양군,0.1,0.1,2,7.9,14.5,21.6,26.7,27.7,28.3,21.1,15.4,6.3,-0.6
광양시,4.1,4.1,5.6,10.7,18.1,23.8,26.4,29.9,29.9,23.9,17.3,9.5,1.4
진도군,3.8,3.8,4.4,9.5,17,24,27,30.1,33,27.7,20.6,13.1,5.3
봉화,-1.5,-1.5,0.5,4.9,12.7,22.5,25.9,26.5,25.3,20.3,14.2,3.6,-3
영주,-1.1,-1.1,1.7,8.3,16.7,25.6,29.3,28.9,28.4,24,17.2,6.8,-1.4
문경,0.3,0.3,2.5,8.8,15.8,24.6,28.3,28,27.9,24.2,17.1,7.7,-0.3
청송군,-1.7,-1.7,0.9,6.2,14.5,22.8,27,29,27.8,21.7,15.7,5.3,-2.5
영덕,0.5,0.5,3.6,9.1,16.9,25.3,28.5,30.3,28.4,25,17.9,9.5,0.8
의성,-1.7,-1.7,1.2,7.7,16.4,23.5,28.8,29.4,29,23.5,16.2,6.2,-2
구미,0.8,0.8,3.6,9.8,17.2,25.5,29.6,29.7,28.9,24.5,17.6,8.2,0.6
영천,0.7,0.7,3.5,9.3,16.4,23.6,28.2,29.5,27.8,23.3,16.9,7.8,0.4
경주시,0.4,0.4,3.1,8.5,16,24.1,28.2,30.3,28.1,22.7,16.5,7.5,0
거창,0.1,0.1,2.5,7.1,15.8,23.6,27.7,29.4,28.7,22.4,16.4,7.8,-0.4
합천,1.2,1.2,4.5,10,18.4,26.8,30.8,31,30.6,24.6,18.2,7.9,-0.3
밀양,0.4,0.4,3.5,9.4,18,25.5,30.4,32.9,32.5,25.5,18.7,9,0.1
산청,0.6,0.6,3,7.9,16.4,24.7,28.8,29.2,29.9,22.9,16.8,7.6,0.3
거제,2.1,2.1,4.7,9.7,16.8,24,28.4,31.3,31.2,24.2,18.3,10.3,1.9
남해,2.8,2.8,4.8,10.5,17.5,23.5,27.2,30.5,31.2,24.8,18.7,10.7,1.7
